name,bio,summary,area,profession,nationality,x,y
mark gil,"raphael john gil eigenmann , better known as mark gil , was a filipino actor . gil was often cast as a main villain to bong revilla , jr , ronnie ricketts , robin padilla , lito lapid , phillip salvador , rudy fernandez , jestoni alarcon , ace vergel , cesar montano , john regala , ian veneracion and other filipino action stars in numerous action movies and he played the role of lorna tolentino 's former lover-killer in the drama-suspense thriller `` the elsa castillo story : the chop-chop lady '' , the script of which is inspired by true events . he also appeared in the abs-cbn drama `` the legal wife '' , starring angel locsin . death_date: 1 september 2014 | birth_place: manila philippines | birth_date: 25 september 1961","Raphael John Gil Eigenmann, better known as Mark Gil, was a Filipino actor. Gil was often cast as a main villain to Bong Revilla, Jr., Ronnie Ricketts, Robin Padilla, Lito Lapid, Phillip Salvador, Rudy Fernandez, Jestoni Alarcon, Ace Vergel, Cesar Montano, John Regala, Ian Veneracion and other Filipino action stars in numerous action movies. He played the role of Lorna Tolentino's former lover-killer in the drama-suspense thriller ``The Elsa Castillo Story: The Chop-Chop Lady'', the script of which is inspired by true events. He also appeared in the ABS-CBN drama ``The Legal Wife'', starring Angel Locsin. Gil was born on September 25, 1961, in Manila, Philippines, and died on September 1, 2014.",arts & entertainment,actor,filipino,6.726416,8.241488
merel mooren,"merel mooren is a dutch professional beach volleyball and indoor volleyball player born in haarlem . in indoor volleyball mooren started her career in 1989 at allides haarlem where she was part of the youth teams . the dutch youth team called her up in 1996 and she was part of the team until 2000 , winning a silver medal at the european youth championships . from 1997 until 2002 she played for martinus amstelveen in the highest dutch league . then she decided to switch sports to beach volleyball . she started her international beach volleyball career in 2002 , teaming up with mered de vries . the talented team did not last long and in the following year mooren had a new partner called sanne keizer . they quickly became one of the best teams in the netherlands . they even became dutch champions by breaking the run set by rebekka kadijk who was teaming up with marrit leenstra at that time . in 2004 they finished second behind this team , but they won the fivb satellite tournament in lausanne . after the 2004 summer olympics kadijk/leenstra decided to split up . mooren was kadijk 's next partner , while leenstra continued with sanne keizer . the combination kadijk/mooren was nearly unbeatable in their own country . in 2005 and 2006 they became dutch national champions . in both 2005 and 2006 they reached the final of the european championships . in both occasions the final was lost and they won the silver medals twice . in 2007 they won their first european tour tournament , prevailing in the final of the german masters in hamburg . birth_date: 22 september 1982","{   ""summary"": ""merel mooren is a dutch professional beach volleyball and indoor volleyball player born in haarlem. in indoor volleyball mooren started her career in 1989 at allides haarlem where she was part of the youth teams. the dutch youth team called her up in 1996 and she was part of the team until 2000, winning a silver medal at the european youth championships. from 1997 until 2002 she played for martinus amstelveen in the highest dutch league. then she decided to switch sports to beach volleyball. she started her international beach volleyball career in 2002, teaming up with mered de vries. the talented team did not last long and in the following year mooren had a new partner called sanne keizer. they quickly became one of the best teams in the netherlands. they even became dutch champions by breaking the run set by rebekka kadijk who was teaming up with marrit leenstra at that time. in 2004 they finished second behind this team, but they won the fivb satellite tournament in lausanne. after the 2004 summer olympics kadijk/leenstra decided to split up. mooren was kadijk's next partner, while leenstra continued with sanne keizer. the combination kadijk/mooren was nearly unbeatable in their own country. in 2005 and 2006 they became dutch national champions. in both 2005 and 2006 they reached the final of the european championships. in both occasions the final was lost and they won the silver medals twice. in 2007 they won their first european tour tournament",other,unknown,unknown,9.721351,8.108995
tanush thopia,"tanush thopia was an albanian nobleman and one of the closest collaborators of george kastrioti skanderbeg . thopia descended from the thopia family that converted from orthodox christianity to catholicism . in 1444 , together with his uncle andrea thopia , he participated in the founding of the league of lezhe , the military alliance led by skanderbeg . he was a commander of the infantry of the league of lezhë , and his garrison became famous for their resistance during the second siege of krujë . after that siege he is no longer mentioned in historical sources , and some suppose that he might have been killed in the end of that battle or died soon afterwards . he was a skillful commander and his loyalty to skanderbeg was undeterred and that was the reason why he was appointed in that delicate position . the name `` tanush '' is an albanian exonym for `` athanassius '' . death_date: 1467","tanush thopia was an albanian nobleman and one of the closest collaborators of george kastrioti skanderbeg. Thopia descended from the thopia family that converted from orthodox christianity to catholicism. In 1444, together with his uncle andrea thopia, he participated in the founding of the league of lezhe, the military alliance led by skanderbeg. He was a commander of the infantry of the league of lezhë, and his garrison became famous for their resistance during the second siege of krujë. After that siege he is no longer mentioned in historical sources, and some suppose that he might have been killed in the end of that battle or died soon afterwards. He was a skillful commander and his loyalty to skanderbeg was undeterred, that was the reason why he was appointed in that delicate position. The name `` tanush '' is an albanian exonym for `` athanassius ''.",military,commander,albanian,4.079697,9.174448
ann cusack,"ann cusack is an american actress . she had a minor role in the 1996 comedy `` multiplicity '' and has made guest appearances in a number of television series , including `` grey 's anatomy '' , `` scandal '' , `` one tree hill '' , `` charmed '' , `` ghost whisperer '' , `` the unit '' , `` boston legal '' , `` bones '' , `` frasier '' , `` ally mcbeal '' , `` criminal minds '' , and `` private practice '' , among others . birth_place: manhattan new york united states | parents: dick cusack nancy cusack mother | birth_date: 22 may 1961","ann cusack is an american actress. she had a minor role in the 1996 comedy multiplicity and has made guest appearances in a number of television series, including grey's anatomy, scandal, one tree hill, charmed, ghost whisperer, the unit, boston legal, bones, frasier, ally mcbeal, criminal minds, and private practice, among others. she was born on may 22, 1961, in manhattan, new york, to parents dick cusack and nancy cusack. she is known for her versatile acting skills and has portrayed various characters in both films and television shows. ann cusack is the sister of actors john cusack and susan cusack.",arts & entertainment,actor,american,7.579664,8.111469
jomhod kiatadisak,"jomhod `` king of the ring '' kiatadisak is a professional muay thai fighter from phang nga province in the south of thailand . he started learning muay thai at the age of 7 and won his first fight when he was 11 years old . in 1986 jomhod won the southern thailand championship in 59.6 kg weight category and the same year , at the age of 16 , he moved to bangkok and began his proper fighting career . jomhod fought in lumpinee stadium for the first time in 1989 . at the age of 18 he won the lumpinee lightweight title , he never lost the belt but vacated it to move up in weight . in 1994 he won the rachadamernn championship in the same weight class , followed by the super lightweight title the next year and at one stage simultaneously held titles in both lumpinee stadium and rajadamnern stadium . in 1995 jomhod moved to finland after a request to come fight and coach there . he lived in finland for 11 years winning numerous titles in muay thai and kickboxing . in 2006 he moved back to thailand to be head coach at the j. prapa gym in kata beach , phuket but recently opened his own gym , jomhod muay thai , near phuket airport and nai yang beach . in 1998 he won the muay thai champion 's league final in amsterdam beating sakmongkol sithchuchok by tko in the final . he holds a notable win over ramon dekkers from the king 's cup in 1996 and a notable k-1 loss to buakaw por . pramuk from 2006 . other western opponents he has beaten include ivan hippolyte , ole laursen and eval denton . jomhod has continued to fight occasionally in phuket even though he is now in his 40s and in december 2012 he returned to bangkok , beating former olympic gold medal winner somluck kamsing by decision at lumpinee stadium . birth_date: 05 july 1970 | style: muay thai","{   ""summary"": ""jomhod `` king of the ring '' kiatadisak is a professional muay thai fighter from phang nga province in the south of thailand. he started learning muay thai at the age of 7 and won his first fight when he was 11 years old. in 1986 jomhod won the southern thailand championship in 59.6 kg weight category and the same year, at the age of 16, he moved to bangkok and began his proper fighting career. jomhod fought in lumpinee stadium for the first time in 1989. at the age of 18 he won the lumpinee lightweight title, he never lost the belt but vacated it to move up in weight. in 1994 he won the rachadamernn championship in the same weight class, followed by the super lightweight title the next year and at one stage simultaneously held titles in both lumpinee stadium and rajadamnern stadium. in 1995 jomhod moved to finland after a request to come fight and coach there. he lived in finland for 11 years winning numerous titles in muay thai and kickboxing. in 2006 he moved back to thailand to be head coach at the j. prapa gym in kata beach, phuket but recently opened his own gym, jomhod muay thai, near phuket airport and nai yang beach. in 1998 he won the muay thai champion's league final in amsterdam beating sakmongkol sithchuchok by tko in the final. he holds a notable win over ramon dekkers from the king's cup in 1996",other,unknown,unknown,9.036436,7.9936013
wang gui,"wang gui , courtesy name shujie , posthumously known as duke yi of yongning , was a chinese official who served as a chancellor during the reign of emperor taizong in the tang dynasty . he had previously served li shimin 's elder brother , li jiancheng , with whom li shimin was locked in an intense rivalry during the reign of their father , emperor gaozu , but after li shimin killed li jiancheng and then took the throne , he knew that wang was faithful to li jiancheng and was capable , and therefore retained him , eventually making him chancellor . wang was known for his honest and blunt criticism of the emperor , and for that was honored by taizong , who appreciated such criticism . death_date: 639 571 | title: chancellor | birth_date: 571","wang gui , courtesy name shujie , posthumously known as duke yi of yongning , was a chinese official who served as a chancellor during the reign of emperor taizong in the tang dynasty . he had previously served li shimin 's elder brother , li jiancheng , with whom li shimin was locked in an intense rivalry during the reign of their father , emperor gaozu , but after li shimin killed li jiancheng and then took the throne , he knew that wang was faithful to li jiancheng and was capable , and therefore retained him , eventually making him chancellor . wang was known for his honest and blunt criticism of the emperor , and for that was honored by taizong , who appreciated such criticism .",politics & law,chancellor,chinese,3.5762334,8.927903
arlene harris,"arlene joy harris , also known as the `` first lady of wireless , '' is a serial entrepreneur , inventor , investor and policy advocate . her career spans a lifetime of innovation in mobile services and systems technology and later , wireless consumer products and services . harris started and built several successful companies , pioneered many of the early cellular industry standards and holds numerous issued wireless communications patents . in may , 2007 she won industry-wide acclaim as the first woman inducted into the wireless hall of fame . harris is co-founder and ceo of dyna llc , in del mar , california , where she incubates new ideas and businesses with husband and business partner martin cooper , a former motorola vice-president and division manager who developed and introduced the first handheld cellular mobile phone in 1973 . she is founder and currently incubating wrethink ; a company focusing on delivering effortless user experience to the family . birth_place: los angeles california usa | nationality: american | birth_date: 06 june 1948 | known_for: jitterbug cellular first cellular activation system first niche cellular offering co-founder cellular wireless history foundation creator first wireless health application first prepaid | residence: del mar california usa","arlene joy harris, also known as the `` first lady of wireless '', is a serial entrepreneur, inventor, investor, and policy advocate. her career spans a lifetime of innovation in mobile services and systems technology and later, wireless consumer products and services. harris started and built several successful companies, pioneered many of the early cellular industry standards, and holds numerous issued wireless communications patents. in may, 2007 she won industry-wide acclaim as the first woman inducted into the wireless hall of fame. harris is co-founder and ceo of dyna llc, in del mar, california, where she incubates new ideas and businesses with husband and business partner martin cooper, a former motorola vice-president and division manager who developed and introduced the first handheld cellular mobile phone in 1973. she is founder and currently incubating wrethink; a company focusing on delivering effortless user experience to the family. harris is known for her contributions to the wireless industry, particularly in the areas of cellular firsts and niche offerings.",business & industry,entrepreneur,american,6.425558,9.808724
chauncey jerome,"chauncey jerome was a clockmaker in the early 19th century . he made a fortune selling his clocks , and his business became enormous . he was born in canaan in 1793 ; chauncey jerome was the son of a blacksmith and nail-maker . jerome began his career in waterbury , making dials for long-case clocks . jerome learned what he could about clocks , particularly clock cases , and then went to new jersey to make seven-foot cases for clocks . in 1816 he went to work for eli terry making `` patent shelf clocks , '' learning how to make previously handmade cases using machinery . deciding to go into business for himself , jerome began to make cases , trading them to terry for wooden movements . in 1822 jerome moved his business to bristol , opening a small shop with his brother noble , producing 30 hour and eight-day wooden clocks . the company installed the first circular saw ever seen in bristol . by 1837 jerome 's company was selling more clocks than any of his competitors . a one-day wood-cased clock , which sold for six dollars , had helped put the company on the map . a year later his company was selling that same clock for four dollars . the company sold one line of clocks at a wholesale price of 75 cents . by 1841 the company was showing an annual profit of a whopping $ 35,000 , primarily from the sale of brass movements . in 1842 jerome moved his clock-case manufacturing operation to st. john street in new haven . three years later , following a fire that destroyed the bristol plant , jerome relocated the entire operation to the elm city . enlarging the plant , the company soon became the largest industrial employer in the city , producing 150,000 clocks annually . because of his discovery of a method of stamping rather than using casting gears , jerome was producing the lowest-priced clocks in the world at the time . in 1850 jerome formed the jerome manufacturing co. as a joint-stock company with benedict & burnham , brass manufacturers of waterbury . in 1853 the company became known as the new haven clock co. , producing 444,000 clocks and timepieces annually . jerome 's future should have been secure but in 1855 he bought out a failed bridgeport clock company controlled by p.t. barnum , which wiped him out financially , leaving the jerome manufacturing co. bankrupt . jerome never recovered from the loss . by his own admission , he was a better inventor than businessman . traveling from town to town , jerome took jobs where he could , often working for clock companies that had learned the business of clock making using jerome 's inventions . returning to new haven near the end of his life , he died , penniless , in 1868 at age 74 . nevertheless , jerome had made a historic contribution to his industry when he substituted brass works for wooden works , said to be `` the greatest and most far-reaching contribution to the clock industry . '' he made , and lost , a fortune selling his clocks and was perhaps the most influential and creative person associated with the american clock business during the mid-19th century . in addition he served as a legislator in 1834 , a presidential elector in 1852 and mayor of new haven from 1854 to 1855 . always humble , of his own life he wrote : `` the ticking of a clock is music to me , and although many of my experiences as a business man have been trying and bitter , i have satisfaction of knowing that i have lived the life of an honest man , and have been of some use to my fellow men . '' death_date: april 20 1868 | birth_date: june 10 1793 | known_for: the glass clock invention of the og and brass & | residence: bristol ct ctnew haven ctplymouth ctwaterbury","{   ""summary"": ""chauncey jerome was a clockmaker in the early 19th century. He made a fortune selling his clocks, and his business became enormous. Born in Canaan in 1793, chauncey jerome was the son of a blacksmith and nail-maker. Jerome began his career in Waterbury, making dials for long-case clocks. He learned what he could about clocks, particularly clock cases, and then went to New Jersey to make seven-foot cases for clocks. In 1816 he went to work for Eli Terry making 'patent shelf clocks', learning how to make previously handmade cases using machinery. Deciding to go into business for himself, jerome began to make cases, trading them to Terry for wooden movements. In 1822 jerome moved his business to Bristol, opening a small shop with his brother Noble, producing 30-hour and eight-day wooden clocks. The company installed the first circular saw ever seen in Bristol. By 1837 jerome's company was selling more clocks than any of his competitors. A one-day wood-cased clock, which sold for six dollars, had helped put the company on the map. A year later his company was selling that same clock for four dollars. The company sold one line of clocks at a wholesale price of 75 cents. By 1841 the company was showing an annual profit of a whopping $35,000, primarily from the sale of brass movements. In 1842 jerome moved his clock-case manufacturing operation to St. John Street in New Haven. Three years later, following a fire that destroyed the Bristol plant, jerome relocated the entire operation to the Elm City. Enlarging the plant,",other,unknown,unknown,9.305499,10.137164
tim gunn,"timothy michael `` tim '' gunn is an american fashion consultant , television personality , actor , and voice actor . he was on the faculty of parsons the new school for design from 1982 to 2007 and was chair of fashion design at the school from august 2000 to march 2007 , after which he joined liz claiborne as its chief creative officer . he is well known as on-air mentor to designers on the reality television program `` project runway '' . gunn 's popularity on `` project runway '' led to 2 spin-off shows , bravo 's `` tim gunn 's guide to style '' and lifetime 's `` under the gunn '' , as well as his book `` a guide to quality , taste and style '' . he also provides the voice of baileywick , the castle steward in the disney junior television show `` sofia the first '' . birth_place: washington d.c. u.s. | birth_date: 29 july 1953 | known_for: fashion | residence: manhattan new york city u.s. | education: bfa sculpture | alma_mater: corcoran college of art and design","timothy michael 'tim' gunn is an american fashion consultant, television personality, actor, and voice actor. he was on the faculty of parsons the new school for design from 1982 to 2007 and was chair of fashion design at the school from august 2000 to march 2007, after which he joined liz claiborne as its chief creative officer. he is well known as on-air mentor to designers on the reality television program 'project runway'. gunn's popularity on 'project runway' led to 2 spin-off shows, bravo's 'tim gunn's guide to style' and lifetime's 'under the gunn', as well as his book 'a guide to quality, taste and style'. he also provides the voice of baileywick, the castle steward in the disney junior television show 'sofia the first'.",arts & entertainment,actor,american,7.076341,7.8578844
billy casper,"`` billy casper is also the name of the protagonist of `` a kestrel for a knave '' . '' william earl casper , jr. was an american professional golfer . he was one of the most prolific tournament winners on the pga tour from the mid-1950s to the mid-1970s . casper started as a caddie in his youth , and emerged from the junior golf hotbed of san diego , where golf could be played year-round , to rank seventh all-time in career tour wins with 51 , across a 20-year period between 1956 and 1975 . fellow san diegan great gene littler was a friend and rival from teenager to senior . casper won three major championships , represented the united states on a then-record eight ryder cup teams , and holds the u.s. record for career ryder cup points won . after reaching age 50 , casper regularly played the senior pga tour and was a winner there until 1989 . in his later years , casper successfully developed businesses in golf course design and management of golf facilities . casper served as ryder cup captain in 1979 , was twice pga player of the year , was twice leading money winner , and won five vardon trophy awards for the lowest seasonal scoring average on the tour . respected for his extraordinary putting and short-game skills , casper was a superior strategist who overcame his distance disadvantages against longer-hitting competitors such as arnold palmer and jack nicklaus with moxie , creative shot-making , and clever golf-course management abilities . never a flashy gallery favorite , casper developed his own self-contained style , relying on solid technique , determination , concentration , and perseverance . he converted to the lds church in 1966 . casper was inducted to the world golf hall of fame in 1978 . children: 11 | nationality: united states 1960 23px | birth_date: 24 june 1931 | college: university of notre dame | birth_place: san diego california","{   ""summary"": ""william earl casper, jr. was an american professional golfer. he was one of the most prolific tournament winners on the pga tour from the mid-1950s to the mid-1970s. casper started as a caddie in his youth, and emerged from the junior golf hotbed of san diego, where golf could be played year-round, to rank seventh all-time in career tour wins with 51, across a 20-year period between 1956 and 1975. fellow san diegan great gene littler was a friend and rival from teenager to senior. casper won three major championships, represented the united states on a then-record eight ryder cup teams, and holds the u.s. record for career ryder cup points won. after reaching age 50, casper regularly played the senior pga tour and was a winner there until 1989. in his later years, casper successfully developed businesses in golf course design and management of golf facilities. casper served as ryder cup captain in 1979, was twice pga player of the year, was twice leading money winner, and won five vardon trophy awards for the lowest seasonal scoring average on the tour. respected for his extraordinary putting and short-game skills, casper was a superior strategist who overcame his distance disadvantages against longer-hitting competitors such as arnold palmer and jack nicklaus with moxie, creative shot-making, and clever golf-course management abilities. never a flashy gallery favorite, casper developed his own self-contained style, relying on solid technique, determination, concentration, and perseverance. he converted to the lds church in 1966. casper was inducted",other,unknown,unknown,9.28471,9.220408
